name,Pred
FNDC3B,0.987332126
PPP1R12A,0.885140101
SclB,0.73162661
SHPRH,0.653975856
Lgr4,0.593745212
PIK3CD-AS2,0.451305724
LINC00847,0.434542504
SclA,0.419084332
ZNF609,0.336517749
ZNF674-AS1,0.329011381
LIFR-AS1,0.090898131
AKT3,0.066457802
LINC01420,0.056972776
LINC-PINT,0.042888094
LINC00961,0.00061611
FBXW7-AS1,0.000118474
PRR7-AS1,8.99E-05
